Year,Actor,Name,Role
2000,Benicio del Toro ,Traffic,Javier Rodriguez
2000,Jamie Bell,Billy Elliot,Billy Elliot
2000,Russell Crowe ,Gladiator,Maximus Decimus Meridius
2000,Tom Hanks ,Cast Away,Chuck Noland
2000,Geoffrey Rush ,Quills,Marquis de Sade
2001,Russell Crowe ,A Beautiful Mind,John Forbes Nash Jr.
2001,Kevin Kline,Life as a House,George Monroe
2001,Sean Penn ,I Am Sam,Sam Dawson
2001,Denzel Washington ,Training Day,Det. Alonzo Harris
2001,Tom Wilkinson ,In the Bedroom,Matt Fowler
2002,Daniel Day-Lewis ,Gangs of New York,William “Bill the Butcher” Cutting
2002,Adrien Brody ,The Pianist,Władysław “Wladek” Szpilman
2002,Nicolas Cage ,Adaptation.,Charlie Kaufman / Donald Kaufman
2002,Richard Gere,Chicago,Billy Flynn
2002,Jack Nicholson ,About Schmidt,Warren Schmidt
2003,Johnny Depp ,Pirates of the Caribbean: The Curse of the Black Pearl,Captain Jack Sparrow
2003,Peter Dinklage,The Station Agent,Finbar McBride
2003,Ben Kingsley ,House of Sand and Fog,Colonel Massoud Amir Behrani
2003,Bill Murray ,Lost in Translation,Bob Harris
2003,Sean Penn ,Mystic River,James “Jimmy” Markum
2004,Jamie Foxx ,Ray,Ray Charles
2004,Don Cheadle ,Hotel Rwanda,Paul Rusesabagina
2004,Johnny Depp ,Finding Neverland,J. M. Barrie
2004,Leonardo DiCaprio ,The Aviator,Howard Hughes
2004,Paul Giamatti,Sideways,Miles Raymond
2005,Philip Seymour Hoffman ,Capote,Truman Capote
2005,Russell Crowe,Cinderella Man,Jim Braddock
2005,Heath Ledger ,Brokeback Mountain,Ennis Del Mar
2005,Joaquin Phoenix ,Walk the Line,Johnny Cash
2005,David Strathairn ,"Good Night, and Good Luck.",Edward R. Murrow
2006,Forest Whitaker ,The Last King of Scotland,Idi Amin
2006,Leonardo DiCaprio ,Blood Diamond,Danny Archer
2006,Ryan Gosling ,Half Nelson,Dan Dunne
2006,Peter O'Toole ,Venus,Maurice Russell
2006,Will Smith ,The Pursuit of Happyness,Chris Gardner
2007,Daniel Day-Lewis ,There Will Be Blood,Daniel Plainview
2007,George Clooney ,Michael Clayton,Michael Clayton
2007,Ryan Gosling,Lars and the Real Girl,Lars Lindstrom
2007,Emile Hirsch,Into the Wild,Christopher McCandless
2007,Viggo Mortensen ,Eastern Promises,Nikolai Luzhin
2008,Sean Penn ,Milk,Harvey Milk
2008,Richard Jenkins ,The Visitor,Walter Vale
2008,Frank Langella ,Frost/Nixon,Richard Nixon
2008,Brad Pitt ,The Curious Case of Benjamin Button,Benjamin Button
2008,Mickey Rourke ,The Wrestler,Randy “The Ram” Robinson
2009,Jeff Bridges ,Crazy Heart,Otis “Bad” Blake
2009,George Clooney ,Up in the Air,Ryan Bingham
2009,Colin Firth ,A Single Man,George Falconer
2009,Morgan Freeman ,Invictus,Nelson Mandela
2009,Jeremy Renner ,The Hurt Locker,Staff Sgt. First Class William James
2010,Colin Firth ,The King's Speech,King George VI
2010,Jeff Bridges ,True Grit,Reuben “Rooster” Cogburn
2010,Robert Duvall,Get Low,Felix Bush
2010,Jesse Eisenberg ,The Social Network,Mark Zuckerberg
2010,James Franco ,127 Hours,Aron Ralston
2011,Jean Dujardin ,The Artist,George Valentin
2011,Demián Bichir ,A Better Life,Carlos Galindo
2011,George Clooney ,The Descendants,Matthew “Matt” King
2011,Leonardo DiCaprio,J. Edgar,J. Edgar Hoover
2011,Brad Pitt ,Moneyball,Billy Beane
2012,Daniel Day-Lewis ,Lincoln,Abraham Lincoln
2012,Bradley Cooper ,Silver Linings Playbook,"Patrick “Pat” Solitano, Jr."
2012,John Hawkes,The Sessions,Mark O'Brien
2012,Hugh Jackman ,Les Misérables,Jean Valjean
2012,Denzel Washington ,Flight,"William “Whip” Whitaker, Sr."
2013,Matthew McConaughey ,Dallas Buyers Club,Ron Woodroof
2013,Bruce Dern ,Nebraska,Woodrow “Woody” Grant
2013,Chiwetel Ejiofor ,12 Years a Slave,Solomon Northup
2013,Tom Hanks,Captain Phillips,Captain Richard Phillips
2013,Forest Whitaker,The Butler,Cecil Gaines
2014,Eddie Redmayne ,The Theory of Everything,Stephen Hawking
2014,Steve Carell ,Foxcatcher,John Eleuthère du Pont
2014,Benedict Cumberbatch ,The Imitation Game,Alan Turing
2014,Jake Gyllenhaal,Nightcrawler,Louis “Lou” Bloom
2014,Michael Keaton ,Birdman,Riggan Thomson
2015,Leonardo DiCaprio ,The Revenant,Hugh Glass
2015,Bryan Cranston ,Trumbo,Dalton Trumbo
2015,Johnny Depp,Black Mass,Whitey Bulger
2015,Michael Fassbender ,Steve Jobs,Steve Jobs
2015,Eddie Redmayne ,The Danish Girl,Lili Elbe / Einar Wegener
2016,Denzel Washington ,Fences,Troy Maxson
2016,Casey Affleck ,Manchester by the Sea,Lee Chandler
2016,Andrew Garfield ,Hacksaw Ridge,Desmond T. Doss
2016,Ryan Gosling ,La La Land,Sebastian Wilder
2016,Viggo Mortensen ,Captain Fantastic,Ben Cash
1994,Tom Hanks ,Forrest Gump,Forrest Gump
1994,Morgan Freeman ,The Shawshank Redemption,Ellis “Red” Redding
1994,Paul Newman ,Nobody's Fool,Donald “Sully” Sullivan
1994,Tim Robbins,The Shawshank Redemption,Andy Dufresne
1994,John Travolta ,Pulp Fiction,Vincent Vega
1995,Nicolas Cage ,Leaving Las Vegas,Ben Sanderson
1995,Anthony Hopkins ,Nixon,Richard Nixon
1995,James Earl Jones,"Cry, the Beloved Country",Rev. Stephen Kumalo
1995,Sean Penn ,Dead Man Walking,Matthew Poncelet
1995,Massimo Troisi  (posthumous),Il Postino: The Postman (Il postino),Mario Ruoppolo
1996,Geoffrey Rush ,Shine,David Helfgott
1996,Tom Cruise ,Jerry Maguire,Jerry Maguire
1996,Ralph Fiennes ,The English Patient,László Almásy
1996,Woody Harrelson ,The People vs. Larry Flynt,Larry Flynt
1996,Billy Bob Thornton ,Sling Blade,Karl Childers
1997,Jack Nicholson ,As Good as It Gets,Melvin Udall
1997,Matt Damon ,Good Will Hunting,Will Hunting
1997,Robert Duvall ,The Apostle,Euliss “Sonny” Dewey
1997,Peter Fonda ,Ulee's Gold,Ulysses “Ulee” Jackson
1997,Dustin Hoffman ,Wag the Dog,Stanley Motss
1998,Roberto Benigni ,Life Is Beautiful (La vita è bella),Guido Orefice
1998,Joseph Fiennes,Shakespeare in Love,William Shakespeare
1998,Tom Hanks ,Saving Private Ryan,Capt. John H. Miller
1998,Ian McKellen ,Gods and Monsters,James Whale
1998,Nick Nolte ,Affliction,Wade Whitehouse
1999,Kevin Spacey ,American Beauty,Lester Burnham
1999,Jim Carrey,Man on the Moon,Andy Kaufman
1999,Russell Crowe ,The Insider,Jeffrey Wigand
1999,Philip Seymour Hoffman,Flawless,Rusty
1999,Denzel Washington ,The Hurricane,Rubin “Hurricane” Carter
