year,actor,film,
1995, Kevin Bacon , Murder in the First ,
1996, Geoffrey Rush , Shine ,
1997, Jack Nicholson ,As Good as it Gets, 
1998, Ian McKellen , Gods and Monsters ,
1999, Russell Crowe , The Insider ,
2000, Russell Crowe , Gladiator ,
2001, Russell Crowe , A Beautiful Mind ,
2001,Sean Penn , I Am Sam ,
2001,Will Smith , Ali ,
2002, Daniel Day-Lewis,Gangs of New York,
2002,Jack Nicholson,About Schmidt,
2002,Robin Williams,One Hour Photo ,
2003, Sean Penn , Mystic River ,
2003,Russell Crowe , Master and Commander,
2003,Johnny Depp , Pirates of the Caribbean,
2003,Ben Kingsley , House of Sand and Fog ,
2003,Bill Murray , Lost in Translation ,
2004, Jamie Foxx , Ray ,
2004,Javier Bardem , The Sea Inside ,
2004,Don Cheadle , Hotel Rwanda ,
2004,Johnny Depp , Finding Neverland ,
2004,Leonardo DiCaprio , The Aviator ,
2004,Paul Giamatti , Sideways ,
2005, Philip Seymour Hoffman , Capote ,
2005,Russell Crowe , Cinderella Man ,
2005,Terrence Howard , Hustle & Flow ,
2005,Heath Ledger , Brokeback Mountain ,
2005,Joaquin Phoenix , Walk the Line ,
2005,David Strathairn , Good Night,
2006, Forest Whitaker , The L,
2006,Leonardo DiCaprio , Blood Diamond ,
2006,Leonardo DiCaprio,The Departed,
2006,Ryan Gosling , Half Nelson ,
2006,Peter O'Toole , Venus ,
2006,Will Smith , The Pursuit of Happyness ,
2007, Daniel Day-Lewis , There Will Be Blood ,
2007,George Clooney , Michael Clayton ,
2007,Johnny Depp , Sweeney Todd,
2007,Ryan Gosling , Lars and the Real Girl ,
2007,Emile Hirsch , Into the Wild ,
2007,Viggo Mortensen , Eastern Promises,
2008, Sean Penn , Milk ,
2008,Clint Eastwood , Gran Torino ,
2008,Richard Jenkins , The Visitor ,
2008,Frank Langella , Frost/Nixon ,
2008,Brad Pitt , The Curious Case of Benjamin Button ,
2008,Mickey Rourke,The Wrestler,
2009, Jeff Bridges,Crazy Heart,
2009,George Clooney , Up in the Air ,
2009,Colin Firth , A Single Man ,
2009,Morgan Freeman , Invictus ,
2009,Viggo Mortensen , The Road ,
2009,Jeremy Renner , The Hurt Locker ,
2010, Colin Firth , The King's Speech ,
2010,Jeff Bridges , True Grit ,
2010,Robert Duvall , Get Low ,
2010,Jesse Eisenberg , The Social Network ,
2010,James Franco ,127 Hours,
2010,Ryan Gosling , Blue Valentine ,
2011, George Clooney , The Descendants ,
2011,Leonardo DiCaprio , J. Edgar ,
2011,Jean Dujardin , The Artist ,
2011,Michael Fassbender , Shame ,
2011,Ryan Gosling , Drive ,
2011,Brad Pitt , Moneyball ,
2012, Daniel Day-Lewis , Lincoln ,
2012,Bradley Cooper ,Silver Linings Playbook,
2012,John Hawkes , The Sessions ,
2012,Hugh Jackman , Les Miserables ,
2012,Joaquin Phoenix , The Master,
2012,Denzel Washington,Flight,
2013, Matthew McConaughey , Dall,
2013,Christian Bale , American Hustle ,
2013,Bruce Dern , Nebraska,
2013,Chiwetel Ejiofor, 12 Years a Slave,
2013,Tom Hanks , Captain Phillips ,
2013,Robert Redford , All Is Lost ,
2014, Michael Keaton , Birdman ,
2014,Benedict Cumberbatch , The Imitation Game ,
2014,Ralph Fiennes , The Grand Budapest Hotel ,
2014,Jake Gyllenhaal , Nightcrawler ,
2014,David Oyelowo , Selma ,
2014,Eddie Redmayne , The Theory of Everything ,
2015, Leonardo DiCaprio , The Revenant ,
2015,Bryan Cranston , Trumbo ,
2015,Matt Damon , The Martian ,
2015,Johnny Depp , Black Mass,
2015,Michael Fassbender , Steve Jobs ,
2015,Eddie Redmayne , The Danish Girl ,
2016, Casey Affleck , Manchester by the Sea ,
2016,Joel Edgerton , Loving ,
2016,Andrew Garfield , Hacksaw Ridge ,
2016,Ryan Gosling , La La Land ,
2016,Tom Hanks ,Sully,
2016,Denzel Washington , Fences ,
