year,film,
1995, Sense and Sensibility ,
1996, Fargo ,
1996,Big Night,
1996,The Crucible,
1996,The English Patient ,
1996,Evita,
1996,Hamlet,
1996,Jerry Maguire ,
1996,Lone Star,
1996,The People vs. Larry Flynt,
1996,Shine ,
1997, L.A. Confidential ,
1997,Amistad,
1997,As Good as It Gets ,
1997,Boogie Nights,
1997,Donnie Brasco,
1997,Good Will Hunting ,
1997,The Full Monty ,
1997,Titanic ,
1997,Wag the Dog,
1997,The Wings of the Dove,
1998, Saving Private Ryan ,
1998,Elizabeth ,
1998,Gods and Monsters,
1998,Life Is Beautiful ,
1998,Out of Sight,
1998,Pleasantville,
1998,Shakespeare in Love ,
1998,A Simple Plan,
1998,The Thin Red Line ,
1998,The Truman Show,
1999, American Beauty ,
1999,Being John Malkovich,
1999,The Cider House Rules ,
1999,The Green Mile ,
1999,The Insider ,
1999,Magnolia,
1999,Man on the Moon,
1999,The Sixth Sense ,
1999,The Talented Mr. Ripley,
1999,Three Kings,
2000, Gladiator ,
2000,Almost Famous,
2000,Billy Elliot,
2000,Cast Away,
2000,"Crouching Tiger, Hidden Dragon",
2000,Erin Brockovich ,
2000,Quills,
2000,Thirteen Days,
2000,Traffic ,
2000,Wonder Boys,
2000,You Can Count On Me,
2001, A Beautiful Mind ,
2001,Ali,
2001,In the Bedroom ,
2001,The Lord of the Rings: The Fellowship of the Ring ,
2001,The Man Who Wasn't There,
2001,Memento,
2001,Moulin Rouge! ,
2001,Mulholland Drive,
2001,The Shipping News,
2001,Shrek,
2002, Chicago ,
2002,About Schmidt,
2002,Adaptation.,
2002,Catch Me If You Can,
2002,Far from Heaven,
2002,Gangs of New York ,
2002,The Hours ,
2002,The Lord of the Rings: The Two Towers ,
2002,The Pianist ,
2002,Road to Perdition,
2003, The Lord of the Rings: The Return of the King ,†
2003,Big Fish,
2003,Cold Mountain,
2003,Finding Nemo,
2003,In America,
2003,The Last Samurai,
2003,Lost in Translation ,
2003,Master and Commander: The Far Side of the World ,
2003,Mystic River ,
2003,Seabiscuit ,
2004, Sideways ,
2004,The Aviator ,
2004,Collateral,
2004,Eternal Sunshine of the Spotless Mind,
2004,Finding Neverland ,
2004,Hotel Rwanda,
2004,Kinsey,
2004,Million Dollar Baby ,
2004,The Phantom of the Opera,
2004,Ray ,
2005, Brokeback Mountain ,
2005,Capote ,
2005,Cinderella Man,
2005,The Constant Gardener,
2005,Crash ,
2005,"Good Night, and Good Luck. ",
2005,King Kong,
2005,Memoirs of a Geisha,
2005,Munich ,
2005,Walk the Line,
2006, The Departed ,
2006,Babel ,
2006,Blood Diamond,
2006,Dreamgirls,
2006,Letters from Iwo Jima ,
2006,Little Children,
2006,Little Miss Sunshine ,
2006,Notes on a Scandal,
2006,The Queen ,
2006,United 93,
2007, No Country for Old Men ,
2007,American Gangster,
2007,Atonement ,
2007,The Diving Bell and the Butterfly,
2007,Into the Wild,
2007,Juno ,
2007,The Kite Runner,
2007,Michael Clayton ,
2007,Sweeney Todd: The Demon Barber of Fleet Street,
2007,There Will Be Blood ,
2008, Slumdog Millionaire ,
2008,Changeling,
2008,The Curious Case of Benjamin Button ,
2008,The Dark Knight,
2008,Doubt,
2008,Frost/Nixon ,
2008,Milk ,
2008,The Reader ,
2008,WALL-E,
2008,The Wrestler,
2009, The Hurt Locker ,
2009,Avatar ,
2009,An Education ,
2009,Inglourious Basterds ,
2009,Invictus,
2009,Nine,
2009,Precious ,
2009,A Serious Man ,
2009,Up ,
2009,Up in the Air ,
2010, The Social Network ,
2010,127 Hours ,
2010,Black Swan ,
2010,The Fighter ,
2010,Inception ,
2010,The King's Speech ,
2010,The Town,
2010,Toy Story 3 ,
2010,True Grit ,
2010,Winter's Bone ,
2011, The Artist ,
2011,The Descendants ,
2011,Drive,
2011,Extremely Loud and Incredibly Close ,
2011,The Help ,
2011,Hugo ,
2011,Midnight in Paris ,
2011,Moneyball ,
2011,The Tree of Life ,
2011,War Horse ,
2012, Argo ,
2012,Beasts of the Southern Wild ,
2012,Django Unchained ,
2012,Les Mis√©rables ,
2012,Life of Pi ,
2012,Lincoln ,
2012,The Master,
2012,Moonrise Kingdom,
2012,Silver Linings Playbook ,
2012,Zero Dark Thirty ,
2013, 12 Years a Slave ,
2013,American Hustle ,
2013,Captain Phillips ,
2013,Dallas Buyers Club ,
2013,Gravity ,
2013,Her ,
2013,Inside Llewyn Davis,
2013,Nebraska ,
2013,Saving Mr. Banks,
2013,The Wolf of Wall Street ,
2014, Boyhood ,
2014,Birdman ,
2014,Gone Girl,
2014,The Grand Budapest Hotel ,
2014,The Imitation Game ,
2014,Nightcrawler,
2014,Selma ,
2014,The Theory of Everything ,
2014,Unbroken,
2014,Whiplash ,
2015, Spotlight ,
2015,The Big Short ,
2015,Bridge of Spies ,
2015,Brooklyn ,
2015,Carol,
2015,Mad Max: Fury Road ,
2015,The Martian ,
2015,The Revenant ,
2015,Room ,
2015,Sicario,
2015,Star Wars: The Force Awakens,
2016, La La Land ,
2016,Arrival ,
2016,Fences ,
2016,Hacksaw Ridge ,
2016,Hell or High Water ,
2016,Lion ,
2016,Loving,
2016,Manchester by the Sea ,
2016,Moonlight ,
2016,Sully,
